kode,nama,kab,alamat,TELEPON,pemilik,kelas
1106025,RS Gayo Medical Centre,Aceh Tengah,"Jl. Paya Tumpi-Mandale, No. 126  Kecamatan Kebayakan  Kabupaten Aceh Tengah Provinsi Aceh.",+628116801950,SWASTA/LAINNYA,D
1102016,RS Umum Daerah Aceh Singkil,Aceh Singkil,Jl. Rimo - Singkil Km.8 Desa Gunung Lagan Kecamatan Gunung Meriah Kabupaten Aceh Singkil Provinsi Aceh,-,Pemkab,C
1174064,RS Umum Kasih Ibu Lhokseumawe,Kota Lhokseumawe,"JL. Merdeka No. 17 Dusun III, Kel. Kuta Blang, Kec. Banda Sakti, Kota Lhokseumawe, Provinsi Aceh",085341809774,Organisasi Sosial,C
1171015,RS Umum Daerah  Dr. Zainoel Abidin,Kota Banda Aceh,"Jl. Tgk Daud Beureueh, NO. 108 B. Aceh",0651-34562,Pemprop,A
1106014,RS Umum Fandika,Aceh Tengah,Jl. Terminal Simpang Wariji Blangkolak 1 Kec. Bebesen,0643-21880,SWASTA/LAINNYA,D
1111005,RS Umum Prima Inti Medika,Aceh Utara,Jl. Singgalang No. 1 Komplek Perumahan PT. PIM Krueng Geukeuh Kab. Aceh Utara,082272628796,Perusahaan,D
1107014,RS Umum Daerah Cut Nyak Dhien,Aceh Barat,Jl. Gajah Mada Meulaboh ,0655-7551273,Pemkab,B
1116011,RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya,Aceh Jaya,"Jln. Ali Gunong, Lr. PMI No. 1, Calang, Kec. Krueng Sabee Kabupaten Aceh Jaya Propinsi Aceh",085380189308,Pemkab,C
1172016,RS Umum Daerah Sabang,Kota Sabang,Jl. Teuku Umar No. 21 Gampong Kuta Ateuh Kec. Sukakarya,0652-22156,Pemkot,C
1171150,RS Umum Pertamedika Ummi Rosnati,Kota Banda Aceh,"Jl. Sekolah No. 5 Gampoeng Ateuk Pahlawan, Kecamatan Baiturahman, Kota Banda Aceh 23241",0651 35092,Perusahaan,C
1110101,RS Umum Bireuen Medical Center ,Bireuen,"Bireuen, Aceh",0644-323155,Organisasi Sosial,D
1104011,RS Umum Daerah H. Sahudin Kutacane,Aceh Tenggara,Jl. Kutacane - Blangkejeren Km. 3 Kec. Badar Kabupaten Aceh Tenggara Provinsi Aceh,0629-21676,Pemkab,C
1174022,RS Umum Metro Medical Center,Kota Lhokseumawe,"Jl. Merdeka Barat No. 70 A, Kecamatan Muara Dua, Kota Lhokseumawe , Nanggroe Aceh Darussalam",0645 44722,SWASTA/LAINNYA,D
1110086,RS Umum Bunda ,Kota Lhokseumawe,"Jalan Darussalam Nomor 16, Desa/Kelurahan Lancang Garam, Kec. Banda Sakti, Kota Lhokseumawe, Provinsi Aceh",0645 46925,Organisasi Sosial,C
1171041,RS Jiwa Aceh,Kota Banda Aceh,Jl. Dr. T. Syarief Thayeb No.25 Banda Aceh,0651-32020,Pemprop,A
1113023,RS Tanoh Gayo,Gayo Lues,"Jl Blower Kp Pers. Sentang, Desa/Kelurahan Bustanussalam, Kec. Blangkejeren, Kab. Gayo Lues, Provinsi Aceh",082273855050,Kementerian Lain,D
1109016,RS Umum Daerah TGK Chik Ditiro Sigli,Pidie,Jl. Prof. A. Majid Ibrahim Sigli,0653-22282,Pemkab,B
1111018,RS Umum PMI Cabang Aceh Utara,Kota Lhokseumawe,"Jl. Samudera Desa/Kelurahan Kampung Jawa, Kec. Banda Sakti, Kota Lhokseumawe, Provinsi Aceh, Kode Pos : 24351",082284449669,Organisasi Sosial,D
1108017,RS Umum Ibnu Sina,Aceh Besar,"Jl. Banda Aceh-Medan Km 25,5 Kecamatan Indrapuri, Kabupaten Aceh Besar, Provinsi Aceh. ",0651 8070469,SWASTA/LAINNYA,D
1173023,RS Umum Cut Meutia,Kota Langsa,"Jl. Garuda No. 1  Kebun Baru, Kec. Paya Bujok Seulemak, Langsa Baro, Kota Langsa, Aceh",0641-4811339,BUMN,C
1174023,RS Ibu dan Anak ABBY,Kota Lhokseumawe,"Jl. T. Chik Ditiro Nomor 28 Lancang Garam, Kec. Banda Sakti, Kota Lhokseumawe Propinsi Aceh",0645 6500284,SWASTA/LAINNYA,C
1112011,RS Umum Daerah Teungku Peukan,Aceh Barat Daya,"Jl. Nasional padang Meurante Desa Ujung Padang, Kecamatan Susoh, Kabupaten Aceh Barat Daya, Provinsi Aceh. Kode Pos. 23765",0659-92522,Pemkab,C
1104012,RS Umum Nurul Hasanah,Aceh Tenggara,Jl. A. Yani No. 23 Pulo Kemiri Kutacane,0629 522561,SWASTA/LAINNYA,C
1171096,RS Umum Harapan Bunda Banda Aceh,Kota Banda Aceh,"Jalan Teuku Umar No. 181-211, Kel. Setui, Kec. Baiturrahman, Kota Banda Aceh, Prov. Aceh",0651- 48114,Organisasi Sosial,C
1174021,RS Umum Sakinah,Kota Lhokseumawe,Jl. Antara No. 30 Kp. Jawa Baru Lhokseumawe,0645-42158,Organisasi Sosial,D
1109028,RS Umum Mufid,Pidie,"JL. PROF. A. MAJID IBRAHIM, NO. 62-66, KEC. KOTA SIGLI KABUPATEN PIDIE, ACEH",0823-6143-5583,Perusahaan,D
1174019,RS Umum Bunga Melati,Kota Lhokseumawe,"Jl. Samudra Baru No.3, Keude Aceh Kec. Banda Sakti",0645-44821,Perorangan,D
1174016,RS Umum Cut Meutia Kab. Aceh Utara,Aceh Utara,Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe,0645-46334,Pemkab,B
1114011,RS Umum Daerah Muda Sedia Kabupaten Aceh Tamiang,Aceh Tamiang,Jl. Kesehatan Kab.Aceh Tamiang ,0641-332983,Pemkab,C
1105078,RS Umum Graha Bunda ,Aceh Timur," Jl. Medan - Banda Aceh Bukit Pala, Idi Rayeuk - Aceh Timur ",0646-21221,Organisasi Sosial,C
1173045,RS Cut Nyak Dhien Langsa,Kota Langsa,Jl. T.M. Bachrun No.1. Kabupaten Kota Langsa Provinsi Aceh,0641-21039,Organisasi Sosial,D
1275276,RS Umum Vina Estetica,Kota Medan,"Jl Sultan Iskandar Muda No.119, Kec. Medan Petisah, ",061 4147646,Organisasi Sosial,C
1275804,RS Ibu dan Anak Badrul Aini,Kota Medan,"Jln. Bromo Gg.Sukri No.18 Kel.Tegal Sari III  Kec.Medan Area Kota Medan Sumatera Utara 
",061-7364315,Perusahaan,C
1275841,RS Umum Estomihi,Kota Medan,"Jl. Sisinga Mangaraja 235,Medan",061-7861771,Perusahaan,C
1212175,RS Umum Mitra Sehat,Deli Serdang,Jl. Sei Merah No. 300 Desa Dagang Kerawan - Tanjung Morawa,085270253369,Organisasi Sosial,D
1205035,RS Umum Daerah Dolok Sanggul,Humbang Hasundutan,Jl. dr. Ferdinand Lumban Tobing No. 1 Dolok Sanggul,"0633-31022,",Pemkab,C
1212023,RS Umum Dr. Gerhard L. Tobing,Deli Serdang,"Jl. Medan-Tanjung Morawa Km. 15,5, Kec. Tanjung Morawa, Kab. Deli Serdang, Prov. Sumatera Utara",061-7944796,SWASTA/LAINNYA,C
1275923,RS Umum Mitra Medika Amplas,Kota Medan,Jl. Sisingamangaraja No. 11 Kelurahan Harjosari 1 Kecamatan Medan Amplas,0617879070,SWASTA/LAINNYA,C
1273102,RS Murni Teguh Horas Insani,Kota Pematang Siantar,"Jl. Medan KM 2.5, Kel. Nagapitu, Kec. Siantar Martoba, Kota Pematang Siantar, Sumatra Utara",0622- 433444,Perusahaan,C
1218029,RS Umum Melati Desa Pon,Serdang Bedagai,Jalan Besar No 218 A Desa Pon - Sei Rampah,0621 41161,SWASTA/LAINNYA,D
1275914,RS Khusus Mata Mencirim Tujuh-Tujuh,Kota Medan,Jl Sei Mencirim No. 77 Medan ,082366644177 - ,SWASTA/LAINNYA,C
1203067,RS Bhayangkara Tk. IV  Batangtoru,Tapanuli Selatan,Jl. Lintas Tapanuli Selatan Batangtoru Desa Hapesong Baru Kec. Batangtoru,081264672387_ 0,POLRI,D
1275147,RS Umum Full Bethesda,Deli Serdang,"Jl Binjai Km.10,8/Jl. Sama No.71 kec. sunggal ",061-8457573,Organisasi Sosial,C
1275724,RS Umum Sarah,Kota Medan,Jl. Baja Raya No. 10 Kelurahan  Petisah Tengah Kecamatan   Medan Petisah  Kota Medan Propinsi  Sumatera Utara,061-4568383,Perusahaan,D
1275935,RS Umum Royal Maternity,Kota Medan,Jl. Sei Mencirim No. 55 - 57 Medan,06142002419,SWASTA/LAINNYA,C
1213058,RS Umum Wampu Norita,Langkat,Jl. Medan - Tj. Pura KM.46 No.86 Kec. Wampu Kab. Langkat 20851,082365264946,Perusahaan,D
1203022,RS Umum Daerah Panyabungan,Mandailing Natal,"Jl Merdeka No.40, Kayu Jati Panyabungan",0636-20181,Pemkab,C
1212181,RS Umum Mitra Medika,Deli Serdang,"Jl. Medan - Batang Kuis Dusun XI Emplasmen, Desa Bandar Klippa, Kecamatan Percut Sei Tuan",6173381822,SWASTA/LAINNYA,C
1208064,RS Umum Permata Hati,Asahan,Jl. Ir. H. Juanda No. 21 Kisaran,81360101887,Perusahaan,D
1209021,RS Umum Laras Kabupaten Simalungun,Simalungun,Jl Desa Naga Jaya I Kec. Bandar Huluan Kab.Simalungun,0622-64342,BUMN,C
1214010,RS Umum Daerah Lukas Hilisimaetano,Nias Selatan,Jln. RSUD Lukas no.01 Hilisimaetano,081361905252,Pemkab,D
1275126,RS Umum Methodist,Kota Medan,"Jl M. H. Thamrin No. 105, Medan",(061) 7369000,Organisasi Protestan,C
1212183,RS Umum Kasih Insani,Deli Serdang,Jl. Besar Namorambe No. 10 -16,081265565540,Perusahaan,C
1275516,RS Umum Mitra Medika,Kota Medan,"Jl. K.L. Yos Sudarso Km 7,5 Tanjung Mulia,Medan",061-664-0999,Organisasi Sosial,C
1275012,RS Umum Daerah H. Bachtiar Djafar,Kota Medan,"Jl. K.L. Yos Sudarso, Km 19 Pekan Labuhan Medan - 20253",06142733825,Pemkot,C
1276090,RS Umum Raskita,Kota Binjai,"Jl. Let. Jend. Jamin Ginting No. 362 Binjai, Kec. Binjai Selatan",081362409111,SWASTA/LAINNYA,D
1275874,RS Khusus Gigi dan Mulut Univ. Sumatera Utara,Kota Medan,Jl Alumni No.2 Kampus USU Medan,618216131,Kementerian Lain,C
1276036,RS Umum Artha Medica,Kota Binjai,Binjai Sumatera Utara,061-8827677,Organisasi Sosial,C
1205061,RS Umum HKBP Balige,Toba Samosir,"Jl Gereja No.17,Balige",0632-21043,Organisasi Protestan,C
1276078,RS Umum AL Fuadi,Kota Binjai,Jl Ahmad Yani No 23 Kel. Kartini Kec. Binjai Kota,061 8828919,Organisasi Sosial,C
1212186,RS Ibu dan Anak Maharani,Deli Serdang,"Jl. Sultan Serdang No. 100, Desa Buntu Bedimbar, Kecamatan Tanjung  Morawa, Kabupaten Deli Serdang, Provinsi Sumatera Utara 20362",061-80042199,Perusahaan,C
1274034,RS Umum Sri Pamela,Kota Tebing Tinggi,Jl. Jend. Sudirman No. 299,0621-24748,BUMN,C
1271033,RS Metta Medika II,Kota Sibolga,Jl. Diponegoro No. 6-8 Kota Sibolga,0631-24001,SWASTA/LAINNYA,C
1275932,RS Gigi dan Mulut Prima,Kota Medan,Jl. Pabrik Tenun No. 103,06188813400,SWASTA/LAINNYA,C
1212171,RS Umum Rahmad Hidayah,Deli Serdang,"Jl Limau Manis Pasar XIII No.61, Desa Limau Manis, Kecamatan Tanjung Morawa, Kabupaten Deli Serdang, Provinsi Sumatera Utara",0617944555,Organisasi Sosial,C
1212200,RS Umum Mitra Guray Petumbukan,Deli Serdang,"Jl. Besar Petumbukan No. 29, Kec. Galang, Kab. Deli Serdang, Sumatera Utara",061-7980216/082,Perorangan,D
1275918,RS Khusus Ginjal Rasyida,Kota Medan,Jl D.I Panjaitan No. 144 Medan Kel. Sei Sikambing D Kec. Medan Petisah,061 4148722,Perusahaan,C
1275772,RS Umum Bandung,Kota Medan,Jl Mistar No. 39-43,614567993,Organisasi Sosial,C
1275911,RS Umum Siloam Dhirga Surya,Kota Medan,Jl Imam Bonjol No. 6,+6261 8888 1900,Perusahaan,B
1203044,RS Umum Daerah Gunung Tua,Padang Lawas Utara,Jl Raya gunung Tua - Binangan KM 6 Aek Haruaya,0635-510567,Pemkab,C
1212184,RS Jiwa Bina Karsa Tuntungan,Deli Serdang,Jl. Besar Tuntungan No. 142G Desa Tuntungan I Kec. Pancur Batu,08 1375982811,SWASTA/LAINNYA,C
1209076,RS Umum Daerah Perdagangan,Simalungun,"Jl Radjadmin Purba, SH. Perdagangan",06227296012,Pemkab,C
1208066,RS Umum Utama,Asahan,Jl. HOS. Cokroaminoto No. 93 Kel. Kisaran Kota Kec. Kisaran Barat,0623 42007,SWASTA/LAINNYA,D
1223005,RS Tiga Bersaudara,Labuhan Batu Utara,Jl. Lintas Sumatera Utara Kampung Pajak Kec NA IX X,0852-7065-3249,Perorangan,D
1271016,RS Umum Daerah Dr. FL Tobing Sibolga,Kota Sibolga,Jl Dr. F.L. Tobing No. 35 Sibolga,0631-26118,Pemkot,B
1219016,RS Umum Kasih Permata Dara,Batu Bara,Jl. Lintas Sumatera No. 215 Sipare-pare Kec. Air Putih Kab. Batubara,6281219969899,Perorangan,D
1275141,RS AL Dr. Komang Makes Belawan,Kota Medan,Jl. Bengkalis  No.1  Kel Belawan 1 Kec. Medan Belawan,061-6941741,TNI AL,C
1212198,RS Umum Daerah Bangun Purba,Deli Serdang,Jl. Perintis Kemerdekaan No. 60 Desa Bangun Purba Kec.Bangun Purba,082181427461,Pemkab,D
1212199,RS Umum Mahawira Prima Indonesia,Deli Serdang,Jl. Cemara No. 16,085277460777_,Perusahaan,C
1275890,RS Umum Bunda Thamrin,Kota Medan,Jl Sei Batang Hari  No. 28 - 30 - 32 - 34 Medan,061-4557318,Perusahaan,C
1275600,RS Umum Prima Husada Cipta Medan,Kota Medan,"Jalan Stasiun No.92, Belawan II, Medan Kota Belawan, Belawan Bahagia, Medan Kota Belawan, Kota Medan, Sumatera Utara 20411",061-6941927,Perusahaan,C
1274063,RS Chevani,Kota Tebing Tinggi,Jl. Prof. H. M. Yamin No. 17 Tanjung Marulak Hilir,06213950222,Perusahaan,C
1275996,RS SUFINA AZIZ,Kota Medan,"Jl Karya Baru No.1,Medan",061-8441111,Organisasi Sosial,C
1207052,RS Sri Pamela Torgamba,Labuhan Batu Selatan,Jln. Lintas Sumatera - Riau KM. 380,0811 623 3117,BUMN,D
1214011,RS Umum Stella Maris,Nias Selatan,Jl. Mgr. Albertus Soegijapranata Bintang Laut Telukdalam,82368196800,Organisasi Katholik,D
1275889,RS Umum Murni Teguh Memorial Hospital,Kota Medan,Jl. Jawa No. 2 Medan ,061-80501717,Perusahaan,B
1218125,RS Umum Daerah Sultan Sulaiman Syariful Alamsyah,Serdang Bedagai,Kabupaten Serdang Bedagai,061- 42100,Pemkab,C
1273107,RS Mata Siantar,Kota Pematang Siantar,Jl. Kartini Nomor 18 Kelurahan Bantan Kecamatan Siantar Barat,62225559,SWASTA/LAINNYA,C
1274062,RS Umum Universitas Prima Indonesia,Kota Tebing Tinggi,Jl. Simalungun No. 7A,(0621)-328488 /,Organisasi Sosial,D
1213062,RS Umum Mahkota Bidadari,Langkat,"Jl. Sisingamangaraja No. 146, Desa Paluh Manis, Kecamatan Gebang, Kabupaten Langkat, Provinsi Sumatera Utara",081269378222,Perusahaan,C
1271032,RS Umum Metta Medika,Kota Sibolga,Jl Sutoyo Siswomiharjo No 34 Sibolga,082165307266,Perusahaan,C
1275035,RS Tk. II Putri Hijau Medan,Kota Medan,"Jl Putri Hijau No. 17, Medan",061-4553900,TNI AD,B
1275898,RS Khusus Mata SMEC,Kota Medan,Jl Iskandar Muda No.278 ,061-4518222,Perusahaan,C
1218026,RS Umum Pabatu,Serdang Bedagai,"DESA KEDAI DAMAR, KEC.TEBING TINGGI,KAB.SERDANG BEDAGAI,SUMATERA UTARA",0621-23781,BUMN,C
1218024,RS Umum Melati ,Serdang Bedagai,"Jl Deli No. 105-115 Perbaungan, Serdang Bedagai",(061) 7990428,Organisasi Sosial,C
1275936,RS Umum Royal Prima Marelan,Kota Medan,Jl. Marelan Pasar 3 No. 187 Kel. Rengas Pulau Kec. Medan Marelan 20255 Sumut,061 42731858,SWASTA/LAINNYA,C
1275794,RS Umum Haji Medan,Deli Serdang,Jl RS Haji Medan Estate,061-6619520,Pemprop,B
1204056,RS Umum Daerah Pandan,Tapanuli Tengah,Jl. Dr. FL. Tobing No. 05 Pandan,0631-372343,Pemkab,C
1206063,RS Umum Nuraini,Labuhan Batu Selatan,Jl Lintas Sumatera Bloksongo Desa Sisumut Kecamatan Kotapinang Kabupaten Labuhanbatu Selatan Provinsi Sumatera Utara Kode Pos. 21464,0624-495883,Perusahaan,D
1211011,RS Umum Daerah Kabupaten Karo,Karo,Jl Kapten Selamat Ketaren  Kabanjahe,0628-20012,Pemkab,C
1277027,RS Metta Medika,Kota Padang Sidempuan,Jl. Sisingamangaraja No. 113 Padang Sidempuan,0634-4320777,Perusahaan,C
1225013,RS Pratama Lologolu Soguna Ba Zato,Nias Barat,"Jl. Desa Lologolu, Kec. Mandrehe",082267208436_,Pemkab,D PRATAMA
1273011,RS Umum Daerah Dr. Djasamen Saragih,Kota Pematang Siantar,"Jl Sutomo No. 230, Pematangsiantar",0622-22959,Pemkot,B
1275163,RS Umum Islam Malahayati,Kota Medan,Jl Pangeran Diponegoro No.2-4 Medan,(061) 4518766,Organisasi Sosial,C
1275633,RS Umum Martha Friska,Kota Medan,"Jl KL. Yos Sudarso Km.6 No. 91,Medan",061 6610910,Perusahaan,C
1202029,RS Umum Armina Madina Panyabungan,Mandailing Natal,Jl Merdeka No. 23 Kayu Jati - Panyabungan,0636-3201006,Organisasi Sosial,C
1207066,RS Umum Elpi Al Azis,Labuhan Batu,Jl Wr. Supratman ,6242600380,Perusahaan,C
1201016,RS Umum Daerah dr. M. Thomsen Nias,Nias,Jl dr. Ciptomangunkusumo No. 15 Gunungsitoli,(0639)21474,Pemkab,C
1276025,RS Bangkatan PTPN II,Kota Binjai,Jl. Hasanuddin No.40 Binjai,061-8821263,BUMN,C
1275100,RS Umum Murni Teguh Methodist Susanna Wesley,Kota Medan,Jl. Harmonika Baru Pasar I Padang Bulan Selayang II,061-8222264,Organisasi Sosial,C
1219015,RS Sapta Medika ,Batu Bara,"Jl. Datuk Umar Palangki Tanah Merah Kec, Air Putih ",085359980800,SWASTA/LAINNYA,D
